"","Date","Time","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3","DateTime"
"21997","1/1/2007","00:00:00",2.58,0.136,241.97,10.6,0,0,0,2007-01-01 00:00:00
"21998","1/1/2007","00:01:00",2.552,0.1,241.75,10.4,0,0,0,2007-01-01 00:01:00
"21999","1/1/2007","00:02:00",2.55,0.1,241.64,10.4,0,0,0,2007-01-01 00:02:00
"22000","1/1/2007","00:03:00",2.55,0.1,241.71,10.4,0,0,0,2007-01-01 00:03:00
"22001","1/1/2007","00:04:00",2.554,0.1,241.98,10.4,0,0,0,2007-01-01 00:04:00
"22002","1/1/2007","00:05:00",2.55,0.1,241.83,10.4,0,0,0,2007-01-01 00:05:00
"22003","1/1/2007","00:06:00",2.534,0.096,241.07,10.4,0,0,0,2007-01-01 00:06:00
"22004","1/1/2007","00:07:00",2.484,0,241.29,10.2,0,0,0,2007-01-01 00:07:00
"22005","1/1/2007","00:08:00",2.468,0,241.23,10.2,0,0,0,2007-01-01 00:08:00
"22006","1/1/2007","00:09:00",2.486,0,242.18,10.2,0,0,0,2007-01-01 00:09:00
"22007","1/1/2007","00:10:00",2.492,0,242.46,10.2,0,0,0,2007-01-01 00:10:00
"22008","1/1/2007","00:11:00",2.5,0,242.88,10.2,0,0,0,2007-01-01 00:11:00
"22009","1/1/2007","00:12:00",2.494,0,242.57,10.2,0,0,0,2007-01-01 00:12:00
"22010","1/1/2007","00:13:00",2.492,0,242.41,10.2,0,0,0,2007-01-01 00:13:00
"22011","1/1/2007","00:14:00",2.48,0,241.81,10.2,0,0,0,2007-01-01 00:14:00
"22012","1/1/2007","00:15:00",2.478,0,241.73,10.2,0,0,0,2007-01-01 00:15:00
"22013","1/1/2007","00:16:00",2.47,0,241.29,10.2,0,0,0,2007-01-01 00:16:00
"22014","1/1/2007","00:17:00",2.466,0,241.11,10.2,0,0,0,2007-01-01 00:17:00
